id,name,description,enabled,verify_email,remember_me
1,Y-find,"Drainage of Right Kidney, Endo",false,false,false
2,Opela,Muscle Perform Assess Neuro Body w Assist Equip,true,true,true
3,Quo Lux,"Introduction of Oth Anti-infect into Fem Reprod, Via Opening",true,true,false
4,Stim,"Excision of Hemiazygos Vein, Perc Endo Approach, Diagn",true,false,true
5,Rank,"Release Right Humeral Head, Open Approach",false,false,false
6,Trippledex,"Revision of Synthetic Substitute in Heart, Perc Approach",false,false,false
7,Tin,"Occlusion of R Femor Vein with Intralum Dev, Open Approach",false,false,false
8,Ronstring,"Restriction of Accessory Pancreatic Duct, Via Opening",true,true,true
9,Stronghold,"Release Right Brachial Artery, Percutaneous Approach",true,true,false
10,Flexidy,"Revision of Spacer in R Sternoclav Jt, Open Approach",true,true,true
11,Tampflex,"Supplement Lum Jt with Nonaut Sub, Perc Approach",false,false,false
12,Otcom,"Excision of Left Glenoid Cavity, Perc Approach, Diagn",true,false,true
13,Tempsoft,"Supplement R Pulm Art with Autol Sub, Perc Approach",true,false,false
14,Namfix,"Drainage of R Femoral Region with Drain Dev, Open Approach",false,true,false
15,Bitchip,"Supplement Right Maxilla with Autol Sub, Open Approach",false,true,false
16,Subin,"Revision of Infusion Device in Occip Jt, Perc Approach",true,true,false
17,Sonsing,"Bypass Lower Esophagus to Ileum, Perc Endo Approach",true,false,true
18,Bamity,"Bypass Transverse Colon to Sigm Colon with Autol Sub, Endo",false,false,true
19,Tin,"Reposition Right Metatarsal-Tarsal Joint, External Approach",false,true,true
20,Gembucket,"Removal of Infusion Device from Ovary, External Approach",true,false,true
21,Kanlam,"Insertion of Ext Fix into R Tarsal, Open Approach",true,true,false
22,Tres-Zap,"Extirpation of Matter from Head & Neck Tendon, Perc Approach",false,false,true
23,Hatity,"Bypass Left Vas Deferens to Left Vas Deferens, Open Approach",true,true,true
24,Voltsillam,Fluoroscopy of Bile Ducts using High Osmolar Contrast,true,false,false
25,Redhold,"Occlusion of Inf Mesent Art with Intralum Dev, Open Approach",false,false,false
26,Quo Lux,"Remove Synth Sub from L Finger Phalanx Jt, Perc Endo",true,true,false
27,Alphazap,"Insertion of Intralum Dev into L Atrium, Perc Endo Approach",false,true,false
28,Y-Solowarm,Low Dose Rate (LDR) Brachytherapy of Ear using Cesium 137,false,false,false
29,Flexidy,"Reposition Face Artery, Percutaneous Endoscopic Approach",true,false,true
30,Konklab,"Bypass 2 Cor Art from Thor Art w Synth Sub, Perc Endo",true,false,true
31,Greenlam,"Removal of Synth Sub from R Carpal, Perc Endo Approach",true,false,false
32,Veribet,"Replace R Low Arm Skin w Autol Sub, Part Thick, Extern",true,false,true
33,Bitwolf,"Excision of Right Ovary, Via Natural or Artificial Opening",false,true,false
34,Bitchip,"Replacement of R Low Femur with Synth Sub, Open Approach",true,true,true
35,Zontrax,"Bypass Cecum to Sigmoid Colon with Autol Sub, Endo",true,false,true
36,Konklux,"Restrict L Int Jugular Vein w Intralum Dev, Open",true,false,false
37,Cookley,HDR Brachytherapy of Gallbladder using Iodine 125,true,true,false
38,Sub-Ex,"Removal of Spacer from Right Wrist Joint, Perc Approach",false,false,true
39,Lotstring,"Reposition Left Ankle Tendon, Perc Endo Approach",false,false,false
40,Quo Lux,"Upper Bones, Revision",true,false,false
41,Tempsoft,"Replacement of Nasal Turbinate with Nonaut Sub, Via Opening",false,true,false
42,Bigtax,"Release Left Lacrimal Bone, Percutaneous Endoscopic Approach",false,true,true
43,Span,"Removal of Radioact Elem from Pancreat Duct, Perc Approach",false,false,true
44,Fintone,"Occlusion of Esophagus, Open Approach",true,false,true
45,Alpha,"Drainage of Right Fallopian Tube, Via Opening, Diagn",true,false,true
46,Sonair,"Transfer Left Neck Muscle, Open Approach",false,false,true
47,Overhold,"Transfer L Hand Subcu/Fascia w Skin, Subcu, Fascia, Open",true,false,true
48,Tresom,HDR Brachytherapy of Adrenal Glands using Oth Isotope,true,false,false
49,Y-find,LDR Brachytherapy of Spinal Cord using Cesium 137,true,false,true
50,Latlux,"Replace Scalp Skin w Nonaut Sub, Part Thick, Extern",true,true,false
51,Voltsillam,"Supplement Papillary Muscle w Synth Sub, Perc Endo",true,true,true
52,Bytecard,"Resection of Appendix, Via Natural or Artificial Opening",false,false,true
53,Ventosanzap,"Bypass L Kidney Pelvis to L Ureter w Synth Sub, Perc Endo",false,true,false
54,Tampflex,"Bypass L Ext Iliac Art to L Int Ilia w Autol Vn, Perc Endo",true,true,false
55,Sonsing,"Reposition Upper Vein, Open Approach",true,true,false
56,Subin,"Supplement Right Brachial Vein with Synth Sub, Perc Approach",false,false,false
57,Sonair,"Occlusion L Less Saphenous w Intralum Dev, Perc Endo",true,true,true
58,Vagram,"Release Left Upper Arm Muscle, Percutaneous Approach",false,true,false
